species
Rhodococcus fascians
Streptococcus sanguinis
Kocuria palustris
Pseudomonas putida
Psychrobacter pulmonis
Geobacillus vulcani
Bosea lupini
Ensifer adhaerens
Novosphingobium pentaromativorans
Methylobacterium aminovorans
Brevundimonas aurantiaca
Caulobacter vibrioides
Psychrobacter maritimus
Sphingomonas faeni
Sphingomonas koreensis
Acinetobacter schindleri
Ensifer meliloti
Algoriphagus aquaeductus
Shinella zoogloeoides
Sphingopyxis macrogoltabida
Pseudomonas fragi
Ochrobactrum tritici
Phenylobacterium haematophilum
Comamonas aquatica
Acinetobacter baumannii
Acinetobacter calcoaceticus
Sphingopyxis alaskensis
Bradyrhizobium liaoningense
Flavobacterium lindanitolerans
Ralstonia insidiosa
Pseudomonas stutzeri
Acinetobacter junii
Microbacterium oxydans
Microbacterium chocolatum
Brevibacterium epidermidis
Ochrobactrum intermedium
Lactococcus lactis
Staphylococcus hominis
Shinella granuli
Streptococcus salivarius
Sphingomonas mucosissima
Methylobacterium dankookense
Haemophilus parainfluenzae
Sphingobacterium spiritivorum
Sphingomonas leidyi
Caulobacter leidyi
Acinetobacter parvus
Methylobacterium jeotgali
Methylobacterium adhaesivum
Corynebacterium kroppenstedtii
Pseudomonas brenneri
Acinetobacter towneri
Pelomonas aquatica
Methylobacterium oryzae
Acinetobacter lwoffii
Methylobacterium oxalidis
Streptococcus mitis
Corynebacterium tuberculostearicum
Kocuria rhizophila
Acidovorax defluvii
Pseudomonas veronii
Delftia acidovorans
Afipia broomeae
Pedomicrobium australicum
Rhizobium radiobacter
Bosea vestrisii
Bradyrhizobium daqingense
Staphylococcus epidermidis
Sphingomonas yabuuchiae
Delftia tsuruhatensis
Brevundimonas vesicularis
Bradyrhizobium denitrificans
Escherichia/Shigella flexneri
Halomonas axialensis
Methylobacterium radiotolerans
Enhydrobacter aerosaccus
Ralstonia pickettii
Halomonas aquamarina
Micrococcus luteus
Paracoccus aminovorans
Halomonas sulfidaeris
Bradyrhizobium japonicum
Pseudomonas fluorescens
Halomonas meridiana
Shewanella algae
Brevundimonas diminuta
Acinetobacter johnsonii
Bradyrhizobium elkanii
Sphingomonas echinoides
Acinetobacter guillouiae
Stenotrophomonas maltophilia
Variovorax paradoxus
Propionibacterium acnes
Pelomonas puraquae
