"patient"	"sample"	"plate"	"cell"	"Cell_Type"	"Cell_Type_and_Condition"	"Condition"
"P1_A02_S2"	"P1"	"S1"	"P1"	"P1_A02_S2"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A03_S3"	"P1"	"S1"	"P1"	"P1_A03_S3"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A04_S4"	"P1"	"S1"	"P1"	"P1_A04_S4"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A05_S5"	"P1"	"S1"	"P1"	"P1_A05_S5"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A06_S6"	"P1"	"S1"	"P1"	"P1_A06_S6"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A07_S7"	"P1"	"S1"	"P1"	"P1_A07_S7"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A08_S8"	"P1"	"S1"	"P1"	"P1_A08_S8"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A09_S9"	"P1"	"S1"	"P1"	"P1_A09_S9"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A10_S10"	"P1"	"S1"	"P1"	"P1_A10_S10"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A11_S11"	"P1"	"S1"	"P1"	"P1_A11_S11"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_A12_S12"	"P1"	"S1"	"P1"	"P1_A12_S12"	"Jurkat"	"Jurkat-uninfected"	"Uninfected"
"P1_B03_S15"	"P1"	"S1"	"P1"	"P1_B03_S15"	"HCT116"	"HCT116-uninfected"	"Uninfected"
"P1_B06_S18"	"P1"	"S1"	"P1"	"P1_B06_S18"	"HCT116"	"HCT116-uninfected"	"Uninfected"
"P1_B07_S19"	"P1"	"S1"	"P1"	"P1_B07_S19"	"HCT116"	"HCT116-uninfected"	"Uninfected"
"P1_C02_S26"	"P1"	"S1"	"P1"	"P1_C02_S26"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C03_S27"	"P1"	"S1"	"P1"	"P1_C03_S27"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C04_S28"	"P1"	"S1"	"P1"	"P1_C04_S28"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C05_S29"	"P1"	"S1"	"P1"	"P1_C05_S29"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C06_S30"	"P1"	"S1"	"P1"	"P1_C06_S30"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C07_S31"	"P1"	"S1"	"P1"	"P1_C07_S31"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C08_S32"	"P1"	"S1"	"P1"	"P1_C08_S32"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C09_S33"	"P1"	"S1"	"P1"	"P1_C09_S33"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C10_S34"	"P1"	"S1"	"P1"	"P1_C10_S34"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C11_S35"	"P1"	"S1"	"P1"	"P1_C11_S35"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_C12_S36"	"P1"	"S1"	"P1"	"P1_C12_S36"	"Jurkat"	"Jurkat-heat-killed"	"Heat Killed"
"P1_D04_S40"	"P1"	"S1"	"P1"	"P1_D04_S40"	"HCT116"	"HCT116-heat-killed"	"Heat Killed"
"P1_D07_S43"	"P1"	"S1"	"P1"	"P1_D07_S43"	"HCT116"	"HCT116-heat-killed"	"Heat Killed"
"P1_D09_S45"	"P1"	"S1"	"P1"	"P1_D09_S45"	"HCT116"	"HCT116-heat-killed"	"Heat Killed"
"P1_D12_S48"	"P1"	"S1"	"P1"	"P1_D12_S48"	"HCT116"	"HCT116-heat-killed"	"Heat Killed"
"P1_E02_S50"	"P1"	"S1"	"P1"	"P1_E02_S50"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_E03_S51"	"P1"	"S1"	"P1"	"P1_E03_S51"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_E04_S52"	"P1"	"S1"	"P1"	"P1_E04_S52"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_E05_S53"	"P1"	"S1"	"P1"	"P1_E05_S53"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_E06_S54"	"P1"	"S1"	"P1"	"P1_E06_S54"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_E08_S56"	"P1"	"S1"	"P1"	"P1_E08_S56"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_E12_S60"	"P1"	"S1"	"P1"	"P1_E12_S60"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F03_S63"	"P1"	"S1"	"P1"	"P1_F03_S63"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F04_S64"	"P1"	"S1"	"P1"	"P1_F04_S64"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F05_S65"	"P1"	"S1"	"P1"	"P1_F05_S65"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F06_S66"	"P1"	"S1"	"P1"	"P1_F06_S66"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F07_S67"	"P1"	"S1"	"P1"	"P1_F07_S67"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F08_S68"	"P1"	"S1"	"P1"	"P1_F08_S68"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F10_S70"	"P1"	"S1"	"P1"	"P1_F10_S70"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F11_S71"	"P1"	"S1"	"P1"	"P1_F11_S71"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_F12_S72"	"P1"	"S1"	"P1"	"P1_F12_S72"	"Jurkat"	"Jurkat-infected"	"Infected"
"P1_G05_S77"	"P1"	"S1"	"P1"	"P1_G05_S77"	"HCT116"	"HCT116-infected"	"Infected"
"P1_G08_S80"	"P1"	"S1"	"P1"	"P1_G08_S80"	"HCT116"	"HCT116-infected"	"Infected"
"P1_G09_S81"	"P1"	"S1"	"P1"	"P1_G09_S81"	"HCT116"	"HCT116-infected"	"Infected"
"P1_G10_S82"	"P1"	"S1"	"P1"	"P1_G10_S82"	"HCT116"	"HCT116-infected"	"Infected"
"P1_G12_S84"	"P1"	"S1"	"P1"	"P1_G12_S84"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H03_S87"	"P1"	"S1"	"P1"	"P1_H03_S87"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H04_S88"	"P1"	"S1"	"P1"	"P1_H04_S88"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H06_S90"	"P1"	"S1"	"P1"	"P1_H06_S90"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H07_S91"	"P1"	"S1"	"P1"	"P1_H07_S91"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H08_S92"	"P1"	"S1"	"P1"	"P1_H08_S92"	"HCT116"	"HCT116-infected"	"Infected"
"P1_H09_S93"	"P1"	"S1"	"P1"	"P1_H09_S93"	"HCT116"	"HCT116-infected"	"Infected"
