patient	sample	Tumor	plate	well	celltype1
MGH42	MGH42-P7-A03	Tumor	P7	A03	Tumor
MGH42	MGH42-P7-A05	Tumor	P7	A05	Tumor
MGH42	MGH42-P7-A07	Tumor	P7	A07	Tumor
MGH42	MGH42-P7-A09	Tumor	P7	A09	Tumor
MGH42	MGH42-P7-B03	Tumor	P7	B03	Tumor
MGH42	MGH42-P7-B06	Tumor	P7	B06	Tumor
MGH42	MGH42-P7-B07	Tumor	P7	B07	Tumor
MGH42	MGH42-P7-B08	Tumor	P7	B08	Tumor
MGH42	MGH42-P7-B12	Tumor	P7	B12	Tumor
MGH42	MGH42-P7-C05	Tumor	P7	C05	Tumor
MGH42	MGH42-P7-C07	Tumor	P7	C07	Tumor
MGH42	MGH42-P7-C08	Tumor	P7	C08	Tumor
MGH42	MGH42-P7-C09	Tumor	P7	C09	Tumor
MGH42	MGH42-P7-C12	Tumor	P7	C12	Tumor
MGH42	MGH42-P7-D04	Tumor	P7	D04	Tumor
MGH42	MGH42-P7-D05	Tumor	P7	D05	Tumor
MGH42	MGH42-P7-D12	Tumor	P7	D12	Tumor
MGH42	MGH42-P7-E01	Tumor	P7	E01	Tumor
MGH42	MGH42-P7-E02	Tumor	P7	E02	Tumor
MGH42	MGH42-P7-E09	Tumor	P7	E09	Tumor
MGH42	MGH42-P7-E12	Tumor	P7	E12	Tumor
MGH42	MGH42-P7-F03	Tumor	P7	F03	Tumor
MGH42	MGH42-P7-F06	Tumor	P7	F06	Tumor
MGH42	MGH42-P7-F07	Tumor	P7	F07	Tumor
MGH42	MGH42-P7-F08	Tumor	P7	F08	Tumor
MGH42	MGH42-P7-F09	Tumor	P7	F09	Tumor
MGH42	MGH42-P7-F12	Tumor	P7	F12	Tumor
MGH42	MGH42-P7-G03	Tumor	P7	G03	Tumor
MGH42	MGH42-P7-G04	Tumor	P7	G04	Tumor
MGH42	MGH42-P7-G09	Tumor	P7	G09	Tumor
MGH42	MGH42-P7-G10	Tumor	P7	G10	Tumor
MGH42	MGH42-P7-G11	Tumor	P7	G11	Tumor
MGH42	MGH42-P7-H01	Tumor	P7	H01	Tumor
MGH42	MGH42-P7-H03	Tumor	P7	H03	Tumor
MGH42	MGH42-P7-H06	Tumor	P7	H06	Tumor
MGH42	MGH42-P7-H09	Tumor	P7	H09	Tumor
