# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	2	1891	+						45633816	AT688_RS00005	1890		old_locus_tag=ERS445057_00001
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	2	1891	+	WP_005895138.1	WP_005895138.1		replication initiator protein A		45633816	AT688_RS00005	1890	629	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	1941	2156	+					yaaA	45633817	AT688_RS00010	216		old_locus_tag=ERS445057_00002
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	1941	2156	+	WP_005895136.1	WP_005895136.1		S4 domain-containing protein YaaA	yaaA	45633817	AT688_RS00010	216	71	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	2171	3280	+						45633818	AT688_RS00015	1110		old_locus_tag=ERS445057_00003
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	2171	3280	+	WP_005895134.1	WP_005895134.1		DNA replication/repair protein RecF		45633818	AT688_RS00015	1110	369	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	3258	3530	+						45633819	AT688_RS00020	273		old_locus_tag=ERS445057_00004
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	3258	3530	+	WP_005895132.1	WP_005895132.1		hypothetical protein		45633819	AT688_RS00020	273	90	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	3543	5450	+					gyrB	45633820	AT688_RS00025	1908		old_locus_tag=ERS445057_00005
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	3543	5450	+	WP_005895130.1	WP_005895130.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	45633820	AT688_RS00025	1908	635	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	5476	7911	+					gyrA	45633821	AT688_RS00030	2436		old_locus_tag=ERS445057_00006
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	5476	7911	+	WP_005895128.1	WP_005895128.1		DNA gyrase subunit A	gyrA	45633821	AT688_RS00030	2436	811	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	7925	8386	+						45633822	AT688_RS00035	462		old_locus_tag=ERS445057_00007
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	7925	8386	+	WP_005895123.1	WP_005895123.1		metallophosphoesterase		45633822	AT688_RS00035	462	153	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	8413	9429	+					pheS	45633823	AT688_RS00040	1017		old_locus_tag=ERS445057_00008
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	8413	9429	+	WP_005895121.1	WP_005895121.1		phenylalanine--tRNA ligase subunit alpha	pheS	45633823	AT688_RS00040	1017	338	
gene	protein_coding	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	9697	12093	+					pheT	45633824	AT688_RS00045	2397		old_locus_tag=ERS445057_00009
CDS	with_protein	GCF_001457555.1	Primary Assembly	chromosome	1	NZ_LN831027.1	9697	12093	+	WP_005895119.1	WP_005895119.1		phenylalanine--tRNA ligase subunit beta	pheT	45633824	AT688_RS00045	2397	798	
